"domainId","name","description","primaryRegulatoryDriver","phase","case","referenceSource"
"D-01","Data Protection & Encryption","Data protection, encryption, pseudonymisation, anonymisation","GDPR","P1","case1","Methodology class diagram"
"D-02","Vulnerability Management","Vulnerability assessment, patching, coordinated disclosure","CRA","P1","case1","Methodology class diagram"
"D-03","Access Control","Authentication, authorization, session management","GDPR,NIS2,CRA","P1","case1","Methodology class diagram"
"D-04","Incident Response","Breach notification, incident handling, lessons learned","GDPR,NIS2,CRA,AI Act","P1","case1","Methodology class diagram"
"D-05","Data Lifecycle","Collection, processing, storage, deletion","GDPR,AI Act","P1","case1","Methodology class diagram"
"D-06","Supply Chain","Third-party risk, vendor management","DPA,DORA","P1","case1","Methodology class diagram"
"D-07","Secure Development","Secure coding, testing, certification","CRA,NIS2,DORA","P1","case1","Methodology class diagram"
"D-08","Human Factors","Awareness training, security culture","NIS2,GDPR","P1","case1","Methodology class diagram"
"D-09","Governance & Documentation","Policies, procedures, documentation,audit","GDPR,CRA,NIS2,DORA,AI Act","P1","case1","Methodology class diagram"
"D-10","Monitoring & Audit","Logging, monitoring, intrusion detection","DORA,AI Act,NIS2","P1","case1","Methodology class diagram"
