subDomainId,domainId,name,description,keywords,examples,soleAuthority,gapRisk,phase,case,referenceSource
D-01.1,D-01,Encryption at Rest,Encryption of personal data stored in systems, databases, or backups,"encryption,AES,at rest,storage,database","Encrypt customer database,Encrypt backup files,Use TLS 1.3 for storage",CRA,case1,Methodology class diagram
D-01.2,D-01,Encryption in Transit,Encryption of personal data during transmission,"encryption,TLS,HTTPS,VPN",Use TLS 1.3 for all communications,Enable HTTPS for all APIs,CRA,MEDIUM,case1,Methodology class diagram
D-01.3,D-01,Encryption Key Management,Secure storage and rotation of encryption keys,"key management,rotation,HSM",Use HSM for master keys,Rotate keys every 90 days,CRA,HIGH,case1,Methodology class diagram
D-01.4,D-01,Pseudonymisation,Transforming personal data to pseudonymous form,"pseudonymisation,hashing",Hash user identifiers,Use tokenization for user IDs,GDPR,LOW,case1,Methodology class diagram
D-02.1,D-02,Vulnerability Scanning,Regular automated scanning for vulnerabilities,"vulnerability scanning,automated,tools",Run weekly vulnerability scans,"Use Nessus, OpenVAS",CRA,HIGH,case1,Methodology class diagram
D-02.2,D-02,Vulnerability Assessment,Prioritizing and assessing vulnerability impact,"vulnerability assessment,CVSS,prioritization",Assess within 24 hours,Use CVSS scoring,CRA,HIGH,case1,Methodology class diagram
D-02.3,D-02,Vulnerability Patching,Applying security patches in timely manner,"patching,timely,SLA",Patch within 7 days for critical,Establish patch SLA,CRA,HIGH,case1,Methodology class diagram
D-02.4,D-02,Coordinated Disclosure,Coordinated disclosure of vulnerabilities with vendors,"coordinated disclosure,vendor coordination",Follow vendor disclosure process,Establish disclosure workflow,NIS2,HIGH,case1,Methodology class diagram
D-03.1,D-03,Authentication,Verifying user identity before granting access,"authentication,MFA,password",Require MFA for admin access,Implement MFA,GDPR,NIS2,case1,Methodology class diagram
D-03.2,D-03,Authorization,Granting appropriate permissions based on role,"authorization,RBAC,least privilege",Use RBAC with least privilege,Implement role-based access,GDPR,NIS2,case1,Methodology class diagram
D-03.3,D-03,Session Management,Secure session lifecycle and termination,"session,timeout,termination",Terminate sessions after 30 min inactivity,Implement session timeout,GDPR,NIS2,case1,Methodology class diagram
D-03.4,D-03,Privileged Access Control,Control over privileged account usage,"privileged access,PAM,monitoring",Monitor all privileged access,Implement PAM solution,CRA,HIGH,case1,Methodology class diagram
D-04.1,D-04,Breach Detection,Automated detection of security breaches,"breach detection,IDS,monitoring",Implement intrusion detection,Use SIEM solution,GDPR,NIS2,case1,Methodology class diagram
D-04.2,D-04,Breach Notification,Notification of personal data breaches to authorities,"breach notification,72h timeline,reporting",Report within 72 hours,Establish breach notification workflow,GDPR,CRA,case1,Methodology class diagram
