analysisId,regulation1Id,regulation2Id,overlapType,jaccardIndex,overlapDescription,complementarityDescription,conflictDescription,recommendedApproach,analysisDate,analyst,phase,case,sharedScope,structuralConnectedness
GDPR-CRA-001,GDPR,CRA,COMPLEMENTARY,0.367,Both require data protection, encryption, and security controls. GDPR focuses on privacy rights, CRA focuses on digital product security.,Strong complementarity: GDPR protects personal data, CRA protects digital products. Implement both.,None,case1,Security controls for personal data and digital products,HIGH
GDPR-NIS2-001,GDPR,NIS2,OVERLAPPING,0.445,Both address data breach notification and security controls for essential entities.,Strong overlap: NIS2 extends GDPR security requirements to essential entities, GDPR applies more broadly to all personal data processing.,NIS2 mandatory breach notification may conflict with GDPR's 72-hour timeline for supervisory authority.,Coordinate breach notification procedures to satisfy both requirements,2024-01-15,Compliance Lead,case1,Breach notification and security requirements,HIGH
GDPR-DORA-001,GDPR,DORA,COMPLEMENTARY,0.512,Both address operational resilience and data protection for financial entities.,Strong complementarity: GDPR protects customer data, DORA protects financial system stability. Both require incident response.,Minimal conflict: DORA's ICT risk management complements GDPR's security requirements.,Integrate DORA's ICT risk management into GDPR's security framework,2024-01-18,Compliance Lead,case1,Incident response and data protection,MEDIUM
GDPR-AIAct-001,GDPR,AIAct,OVERLAPPING,0.398,Both address AI system transparency, data quality, and risk management requirements.,Strong overlap: AIAct's data governance requirements align with GDPR's data quality principles.,AIAct's transparency requirements for high-risk AI may conflict with GDPR's data minimization principles.,Apply AIAct's transparency requirements alongside GDPR's data minimization,2024-02-01,case1,Data governance and transparency,MEDIUM
CRA-NIS2-001,CRA,NIS2,OVERLAPPING,0.523,Both address cybersecurity requirements for products and essential services.,Strong overlap: CRA's product security requirements complement NIS2's entity security requirements.,CRA requires vulnerability disclosure, NIS2 requires coordinated vulnerability disclosure.,Align CRA's vulnerability disclosure requirements with NIS2's coordinated disclosure process,2024-01-22,Compliance Lead,case1,Cybersecurity requirements for products and entities,HIGH
CRA-DORA-001,CRA,DORA,COMPLEMENTARY,0.562,Both address cybersecurity for digital products and financial entities.,Strong complementarity: CRA applies to all digital products, DORA focuses on financial sector ICT providers.,CRA requires market surveillance, DORA requires ICT risk management. Some overlap in testing requirements.,Integrate CRA's product security requirements into DORA's ICT risk management framework,2024-01-25,case1,ICT security for digital products and financial sector,MEDIUM
CRA-AIAct-001,CRA,AIAct,OVERLAPPING,0.411,Both address digital product security, AI systems require security by design.,Strong overlap: AIAct's cybersecurity requirements for AI systems align with CRA's product security principles.,AIAct requires conformity assessment, CRA requires vulnerability handling. Potential duplication.,Coordinate conformity assessment with vulnerability handling procedures,2024-02-05,case1,Product security and AI system safety,MEDIUM
NIS2-DORA-001,NIS2,DORA,COMPLEMENTARY,0.857,Both address operational resilience for critical entities in the financial sector.,Exceptional complementarity: NIS2 covers essential entities, DORA covers financial sector entities with significant overlap.,Both require ICT risk management and incident reporting. DORA is more prescriptive for financial entities.,Apply DORA's detailed requirements as the financial sector implementation of NIS2,2024-01-28,Compliance Lead,case1,Operational resilience for critical entities,VERY_HIGH
NIS2-AIAct-001,NIS2,AIAct,OVERLAPPING,0.334,Both address security requirements for AI systems used by essential entities.,Moderate overlap: NIS2's security requirements apply to AI systems used by essential entities, AIAct classifies AI systems by risk level.,AIAct's risk classification may conflict with NIS2's essential entity classification.,Map AIAct's risk classes to NIS2's entity classification for consistent treatment,2024-02-10,Compliance Lead,case1,Security requirements for AI in essential entities,LOW
DORA-AIAct-001,DORA,AIAct,COMPLEMENTARY,0.289,Both address AI risk management in the financial sector.,Moderate complementarity: DORA addresses financial sector ICT risks, AIAct addresses AI-specific risks.,AIAct's AI risk management may need to integrate with DORA's ICT risk management framework.,Incorporate AIAct's AI risk management into DORA's overall ICT risk framework,2024-02-15,Compliance Lead,case1,AI risk management in financial sector,LOW
